City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,kabanjahe,3.1001,98.4908,290.8,96,95,0.88,ID,1702244443
67,holualoa,19.6228,-155.9522,300.68,69,20,4.63,US,1702244443
68,yellowknife,62.456,-114.3525,260.13,98,100,9.39,CA,1702244185
69,georgetown,5.4112,100.3354,300.11,92,20,1.03,MY,1702244444
70,thompson,55.7435,-97.8558,257.24,85,75,1.03,CA,1702244444
71,chibougamau,49.9168,-74.3659,273.94,93,100,5.14,CA,1702244445
72,georgievka,49.3314,81.5761,253.41,96,99,1.02,KZ,1702244445
73,stara zagora,42.4328,25.6419,274.94,87,77,1.44,BG,1702244445
74,luderitz,-26.6481,15.1594,291.26,65,2,8.5,NA,1702244445
75,port elizabeth,-33.918,25.5701,289.32,91,0,1.03,ZA,1702244446
76,kargil,34.5667,76.1,266.81,35,99,0.73,IN,1702244446
77,nabire,-3.3667,135.4833,298.86,80,100,1.14,ID,1702244321
78,tura,25.5198,90.2201,286.95,55,0,1.63,IN,1702244447
79,college,64.8569,-147.8028,253.09,76,40,1.54,US,1702244447
80,mount gambier,-37.8333,140.7667,289.21,84,100,5.94,AU,1702244296
81,sagaing,21.8787,95.9797,294.85,75,58,1.62,MM,1702244447
82,solnechnyy,50.7214,136.6319,249.83,96,14,1.34,RU,1702244448
83,chetwayi,10.5333,76.05,298.97,85,97,4.76,IN,1702244448
84,tazacorte,28.629,-17.9293,294.34,45,75,4.02,ES,1702244448
85,chos malal,-37.3781,-70.2709,305.44,9,86,2.25,AR,1702244449
86,albany,42.6001,-73.9662,286.45,90,100,1.34,US,1702244276
87,geraldton,-28.7667,114.6,293.38,22,0,5.14,AU,1702244449
88,weno,7.4515,151.8468,301.12,78,100,3.6,FM,1702244449
89,coquimbo,-29.9533,-71.3436,291.0,72,75,4.12,CL,1702244385
90,pinheiro machado,-31.5783,-53.3811,290.82,91,28,3.99,BR,1702244450
91,guerrero negro,27.9769,-114.0611,296.75,23,0,1.78,MX,1702244450
92,colonia,50.9333,6.95,285.35,78,75,4.63,DE,1702244304
93,uturoa,-16.7333,-151.4333,300.06,80,43,10.14,PF,1702244451
94,misantla,19.9333,-96.8333,286.7,84,100,4.49,MX,1702244451
95,cannonvale,-20.2833,148.7,297.81,87,100,12.74,AU,1702244451
96,deqen,29.9618,90.7188,265.84,39,0,2.98,CN,1702244452
97,namtsy,62.7161,129.6658,242.53,89,100,4.91,RU,1702244329
98,zhangye,38.9342,100.4517,272.2,38,100,2.68,CN,1702244452
99,mata-utu,-13.2816,-176.1745,301.24,76,100,6.68,WF,1702244453
100,cassilandia,-19.1133,-51.7342,299.19,65,85,2.46,BR,1702244453
101,kenai,60.5544,-151.2583,266.56,92,100,13.89,US,1702244293
102,el playon,7.4713,-73.2031,302.3,88,100,0.35,CO,1702244453
103,laguna,38.421,-121.4238,290.35,58,0,3.6,US,1702244454
104,blackmans bay,-43.0167,147.3167,289.11,62,65,0.45,AU,1702244454
105,tarko-sale,64.9225,77.785,235.52,99,81,2.88,RU,1702244454
106,plastun,44.7561,136.2939,256.51,55,0,3.1,RU,1702244455
107,katsuura,35.1333,140.3,285.16,79,97,2.27,JP,1702244455
108,emerald,-23.5333,148.1667,295.56,65,48,7.31,AU,1702244455
109,iskateley,67.6803,53.1512,250.38,91,99,4.92,RU,1702244285
110,stanley,54.868,-1.6985,279.14,97,75,2.57,GB,1702244274
111,utrik,11.2278,169.8474,300.43,76,60,9.83,MH,1702244456
112,peace river,56.2501,-117.286,275.32,55,75,6.69,CA,1702244409
113,anzio,41.4853,12.6179,284.26,65,54,2.06,IT,1702244456
114,taltal,-25.4,-70.4833,291.72,72,21,1.15,CL,1702244457
115,camacupa,-12.0167,17.4833,290.85,94,100,1.58,AO,1702244457
116,massa marittima,43.049,10.8928,285.56,95,87,1.72,IT,1702244457
117,aral,40.5156,81.2636,270.67,53,74,3.89,CN,1702244458
118,aasiaat,68.7098,-52.8699,268.13,94,100,7.52,GL,1702244458
119,skhirate,33.8498,-7.0404,293.39,81,0,2.5,MA,1702244458
120,st. john's,47.5649,-52.7093,273.03,88,40,1.79,CA,1702244459
121,ghat,24.9647,10.1728,288.02,57,100,3.35,LY,1702244459
122,tanjung pandan,-2.75,107.65,298.45,87,51,0.03,ID,1702244459
123,rahatgarh,23.7833,78.3667,287.85,59,0,1.52,IN,1702244459
124,qaqortoq,60.7167,-46.0333,264.03,75,94,1.79,GL,1702244299
125,invercargill,-46.4,168.35,287.92,49,44,5.13,NZ,1702244460
126,new norfolk,-42.7826,147.0587,289.77,45,83,1.38,AU,1702244460
127,hawaiian paradise park,19.5933,-154.9731,299.28,93,92,0.89,US,1702244272
128,kasongo-lunda,-6.4667,16.8167,294.94,98,100,0.33,CD,1702244322
129,udachny,66.4167,112.4,244.51,82,100,5.47,RU,1702244321
130,happy valley-goose bay,53.3168,-60.3315,273.32,74,100,5.14,CA,1702244281
131,nova sintra,14.8667,-24.7167,296.25,74,100,4.22,CV,1702244461
132,pacific grove,36.6177,-121.9166,293.94,46,100,5.81,US,1702244363
133,qui nhon,13.7667,109.2333,295.48,86,35,2.0,VN,1702244323
134,papatowai,-46.5619,169.4708,287.81,44,21,3.33,NZ,1702244462
135,ambam,2.3833,11.2833,294.61,98,100,1.34,CM,1702244463
136,i-n-salah,27.1935,2.4607,288.01,50,9,5.41,DZ,1702244463
137,saldanha,-33.0117,17.9442,290.18,87,0,7.69,ZA,1702244463
138,lander,42.833,-108.7307,279.25,41,20,0.0,US,1702244463
139,portage,41.1667,-81.1998,276.39,75,98,3.09,US,1702244464
140,melekeok village,7.4957,134.6367,301.05,81,70,5.38,PW,1702244464
141,wailua homesteads,22.0669,-159.378,299.59,78,20,4.63,US,1702244464
142,pankrushikha,53.8319,80.3406,244.84,97,79,2.38,RU,1702244465
143,ljungsbro,58.5167,15.5,274.09,93,100,5.66,SE,1702244465
144,magadan,59.5667,150.8,266.94,81,90,8.73,RU,1702244465
145,blackwater,-23.5833,148.8833,295.88,67,91,7.41,AU,1702244465
146,afaahiti,-17.75,-149.2833,303.08,83,90,11.07,PF,1702244466
147,grand falls-windsor,48.9332,-55.6649,272.87,81,99,0.89,CA,1702244466
148,hirara,24.8,125.2833,296.07,94,20,2.57,JP,1702244290
149,vodice,43.7608,15.7828,280.13,88,5,3.73,HR,1702244466
150,kingisepp,59.3733,28.6134,263.92,94,95,3.37,RU,1702244227
151,estevan,49.1334,-102.9842,271.34,86,75,2.57,CA,1702244290
152,wynyard,-41.0,145.7167,291.14,36,100,0.97,AU,1702244467
153,manacapuru,-3.2997,-60.6206,301.34,75,81,1.45,BR,1702244467
154,kavaratti,10.5669,72.642,301.82,72,96,1.06,IN,1702244468
155,medina,24.4686,39.6142,297.39,14,0,2.06,SA,1702244468
156,arauca,7.0847,-70.7591,302.13,79,40,1.03,CO,1702244469
157,quellon,-43.1167,-73.6167,287.43,79,100,3.29,CL,1702244325
158,almenara,-16.1836,-40.6944,300.85,56,87,3.34,BR,1702244469
159,marka,1.7159,44.7717,299.76,84,20,6.27,SO,1702244469
160,nasir,15.5894,32.5634,299.23,19,0,3.68,SD,1702244470
